Step,random,lfu,lru,a3c
175,64.9093356,49.88702202,48.62362362,48.94170911
176,63.7760306,48.64426419,48.98398398,49.18222977
177,63.98852529,45.31575898,48.92392392,50.06225241
178,65.13882986,43.14600232,48.86100386,49.93491794
179,64.07918969,47.32039397,48.42914343,50.05376344
180,63.12721349,51.04866744,48.76376376,49.75947934
181,63.76469755,46.30359212,48.76376376,49.35483871
182,63.42187279,45.06373117,49.02974403,49.43406904
183,62.69939085,45.24044032,48.43200343,48.50311262
184,64.26335175,45.47508691,48.96682397,49.34634975
185,63.3907069,45.45191194,48.41770342,49.35200905
186,62.57189404,45.60834299,48.76662377,49.35766836
187,63.62020116,50.65179606,48.8953239,50.60271647
188,64.6146763,45.01738123,48.60932361,49.33220147
189,65.89814421,47.07126304,48.28900329,49.91794001
190,63.01671625,47.48551564,48.73802374,49.31522354
191,64.21235302,51.09212051,48.72086372,49.09168081
192,64.51834537,46.17612978,48.88388388,48.87945671
193,63.65986684,44.34530707,48.76376376,48.25693265
194,63.90352741,42.50289687,48.68082368,47.99943407
195,64.60334325,51.00811124,48.68654369,48.50028297
196,64.50984559,47.54634994,48.47490347,48.63327674
197,64.92916844,44.48146002,48.67224367,48.93887946
198,64.10468905,44.47856315,48.78664379,48.65874363
199,63.04221561,47.05098494,48.84384384,48.85116016
200,64.18968692,48.61239861,48.55212355,48.4606678
201,62.79288851,47.41599073,49.004004,48.95302773
202,63.63153421,47.41599073,48.68368368,48.42671194
203,63.78736365,46.93800695,48.96968397,48.3106961
204,64.093356,43.25608343,49.21850422,48.60215054
205,63.61453464,45.61993048,48.6036036,48.05319751
206,65.31165888,46.92931634,48.95824396,48.65591398
207,62.94021816,44.3829664,48.92392392,47.69666101
208,65.2493271,47.54924681,48.75804376,47.38256933
209,63.9573594,45.17091541,49.08694409,47.56932654
210,63.61170137,46.99015064,48.61504362,48.16355405
211,63.77036407,49.72190035,48.54068354,47.65138653
212,63.72786514,52.94322132,48.88388388,47.32880589
213,64.24635217,47.39281576,48.56070356,47.53254103
214,65.05383199,45.70973349,48.6951237,47.70797963
215,63.83552911,46.98146002,48.84670385,46.9213356
216,63.85252869,45.18829664,48.67796368,47.73627617
217,65.31449214,51.18771727,48.33476333,47.65421619
218,63.5040374,45.46639629,48.68654369,46.91001698
219,62.96855079,46.13557358,48.53496353,47.24108659
220,63.35387449,45.1419467,48.92964393,47.13073005
221,65.41648959,50.64310545,48.54354354,47.59479344
222,63.72503187,49.61471611,48.998284,47.60611205
223,63.18104547,44.50173812,48.55498355,47.00056593
224,64.79883836,48.51100811,49.001144,46.62422184
225,63.34820796,50.34183082,49.01258401,46.66666667
226,65.47882136,48.14600232,48.63792364,46.39784946
227,64.98866695,44.35689455,48.69226369,46.36955291
228,63.29154271,46.44264195,48.70656371,47.26938314
229,64.33135005,45.08690614,48.68368368,47.26089417
230,65.3173254,44.9391657,48.62934363,47.06281834
231,64.73933985,47.67960603,49.27856428,46.62988115
232,64.09052274,46.44843569,48.55498355,46.48556876
233,64.19818671,43.16048667,48.73802374,47.01754386
234,64.78467205,46.86558517,48.67510368,46.94963214
235,64.21801955,48.603708,48.91534392,46.56762875
236,63.54370307,48.47624565,48.63506364,46.85059423
237,63.5947018,44.35399768,48.26612327,46.83644595
238,63.71653209,45.45191194,48.79236379,46.57894737
239,64.43901402,47.15816918,48.6036036,46.31861913
240,63.90636067,50.59965238,48.66938367,46.16015846
241,64.32851679,45.13904983,49.11554412,46.4770798
242,64.71100722,47.40150637,48.78092378,47.0090549
243,64.64867545,44.99130939,48.76948377,46.6836446
244,64.76767247,48.48783314,49.12984413,46.76287493
245,65.39665675,47.5405562,48.68368368,46.28183362
246,63.46437172,47.00463499,48.95538396,46.5959253
247,63.64286726,49.18887601,48.38338338,47.15619694
248,64.24351891,46.35863268,48.83526384,46.91001698
249,63.04221561,45.28099652,48.33476333,46.70345218
250,64.21801955,46.42815759,48.65508366,46.0073571
251,64.73933985,51.01390498,48.48348348,46.51952462
252,63.56070265,46.90614137,48.75518376,47.06564799
253,63.93186004,46.82502897,49.05262405,46.56762875
254,63.866695,42.48261877,48.63792364,46.20826259
255,64.36818246,46.84530707,48.80666381,45.6196944
256,63.42753931,43.55446118,48.60646361,47.02037351
257,65.05949851,44.35979143,48.96968397,46.8024901
258,63.92902677,44.44090382,48.5006435,46.11205433
259,64.65434197,48.18655852,48.92678393,46.25636672
260,65.64598385,47.62746234,49.06120406,46.59026599
261,63.0507154,51.90903824,48.73516374,46.57611771
262,64.3653492,45.40845886,48.8981839,46.70911149
263,64.4106814,49.29026651,48.94394394,46.39784946
264,64.33418331,45.62282735,48.50636351,47.0713073
265,63.34254144,51.94090382,48.66938367,46.84493492
266,63.32837512,48.22711472,49.02116402,46.73740804
267,62.86372007,47.03650058,48.4005434,47.21279004
268,66.03414081,46.72943221,48.35192335,46.50254669
269,64.97450064,50.02607184,48.65508366,47.09111488
270,64.25485196,46.75260718,48.59216359,46.50537634
271,64.96883411,47.64774044,48.68082368,46.1516695
272,64.546678,44.12514484,48.6036036,47.28919072
273,64.2293526,44.94495944,48.90962391,46.72891907
274,64.07918969,46.20509849,48.76948377,47.19864177
275,65.09916419,48.70220162,48.92106392,46.65534805
276,63.29437597,46.28910776,48.72944373,46.84776457
277,64.21801955,50.60254925,48.77520378,46.43746463
278,64.03385749,48.72537659,48.41770342,46.21109225
279,63.47853804,46.70625724,49.06406406,46.97226938
280,62.83538745,48.15179606,48.90676391,45.85455574
281,64.45318034,46.48899189,48.4977835,45.73005093
282,63.85819521,48.22421784,48.61504362,46.66666667
283,64.62317609,45.33893395,48.7037037,46.04697227
284,65.13033008,41.13847045,48.87816388,47.17883418
285,64.73084006,51.18482039,49.08980409,46.20826259
286,64.60334325,45.39397451,48.81238381,46.31578947
287,64.83850404,48.31112399,48.90962391,45.62818336
288,63.51253719,45.13615295,48.82382382,45.92812677
289,63.14421306,45.35052144,48.78664379,46.28749293
290,64.320017,45.39976825,48.63220363,46.3016412
291,63.10738065,44.95654693,48.91534392,45.11318619
292,64.09052274,46.85110081,49.08694409,45.95076401
293,64.11885536,44.96813441,48.995424,45.99037917
294,64.72517354,46.82792584,48.79236379,46.01867572
295,64.22651934,46.49478563,48.65508366,46.14601019
296,64.26901827,51.04577057,48.74660375,46.032824
297,65.07366483,49.099073,48.81810382,45.9196378
298,62.86655334,46.95249131,48.72658373,46.16864743
299,62.9373849,47.75492468,48.75232375,45.75551783
300,62.82688766,49.73348783,48.81810382,46.0950764
301,64.84983709,48.28505214,48.92106392,45.8885116
302,64.55234452,47.16106605,48.58358358,46.1262026
303,62.54356141,48.8760139,48.96968397,47.11941143
304,62.86372007,46.96407879,48.70656371,46.40916808
305,63.62870095,46.15295481,48.57786358,46.58177702
306,63.60886811,47.59559676,48.84098384,46.57894737
307,63.70236577,45.01158749,48.65222365,46.69213356
308,64.20101997,46.6396292,49.00686401,46.58743633
309,64.42768097,43.10254925,48.55212355,46.31295982
310,64.8186712,47.95191194,48.61504362,45.98754952
311,64.81583794,43.27636153,48.42342342,46.08658744
312,65.58081881,45.06952491,48.6036036,46.62422184
313,64.46168012,45.02607184,48.78950379,47.04867006
314,63.2773764,50.08980301,48.78092378,46.55065082
315,63.28020966,47.90845886,48.72658373,46.03565365
316,63.75053124,47.87079954,48.98684399,46.79400113
317,63.5267035,50,48.89246389,47.1590266
318,65.13033008,46.36152955,48.6036036,46.71760045
319,63.38787364,42.41019699,48.87530388,45.96208263
320,62.66822496,49.73059096,48.87816388,46.39784946
321,62.91188554,45.09269988,48.74088374,47.19864177
322,63.84119564,48.83256083,48.77520378,46.84776457
323,64.33701657,47.56952491,48.52352352,45.73288059
324,63.640034,46.85110081,48.66080366,46.28183362
325,64.24351891,45.34762457,48.995424,45.71307301
326,64.43618076,44.02085747,48.81524382,45.69609508
327,62.06190679,47.00173812,48.65222365,46.55065082
328,64.53534495,45.29548088,49.00972401,46.16581777
329,64.88950276,47.3783314,48.58072358,45.64233164
330,64.52967842,45.44901506,48.90962391,45.54612337
331,64.67984134,49.97103129,49.12126412,44.95755518
332,64.80167162,45.01158749,48.84098384,45.67345784
333,64.9320017,44.95654693,48.66366366,45.87153367
334,65.13033008,47.6622248,48.62076362,45.69892473
335,63.0733815,50.00289687,48.82382382,45.48104131
336,65.96614251,48.86152955,48.95824396,45.77815507
337,64.10468905,43.14600232,48.77234377,45.52065648
338,63.0280493,44.92178447,48.5006435,45.46123373
339,62.37356566,49.68713789,49.26140426,45.05093379
340,65.35699108,45.7387022,48.72086372,45.93378608
341,63.05921519,45.08980301,48.73802374,45.89134126
342,64.35684941,48.73696408,48.73230373,45.81494058
343,64.76767247,45.09849363,49.04690405,45.41595925
344,63.60886811,43.2792584,48.36336336,45.29994341
345,65.25499363,49.12804171,48.80952381,45.55461234
346,64.12452189,48.74565469,48.46346346,45.86304471
347,63.77036407,43.22421784,49.21278421,45.62252405
348,62.24606885,44.14252607,48.92392392,45.28013582
349,65.76214761,49.91309386,48.92964393,45.78381437
350,64.10752231,47.56952491,48.62076362,45.36219581
351,63.96869245,48.82676709,48.78378378,46.83927561
352,64.12452189,48.53997683,48.82954383,45.475382
353,63.92902677,47.30880649,48.68940369,45.81211092
354,63.37370732,49.61181924,48.67224367,45.77249576
355,63.5720357,47.05967555,48.92964393,45.31692134
356,63.8893611,45.19119351,48.4034034,45.63950198
357,62.73055674,47.93742758,48.62076362,46.28183362
358,65.16716249,47.67670915,48.38910339,45.43576684
359,63.60036832,49.00057937,48.6007436,46.42897566
360,64.11035557,47.64774044,48.88960389,46.04697227
361,65.35982434,45.50984936,48.64936365,45.35936616
362,65.05949851,48.77752028,48.68940369,45.95359366
363,63.74203145,49.97103129,49.1984842,46.03565365
364,64.86966992,44.94206257,48.7008437,46.03848331
365,64.49001275,45.6575898,48.88102388,45.72722128
366,64.83283751,45.68945539,48.60932361,46.36955291
367,64.45318034,48.65874855,48.66366366,46.13752122
368,63.38787364,46.58169177,48.7037037,46.3327674
369,64.40218161,44.12804171,48.71228371,46.23089983
370,64.32568352,47.41309386,48.58072358,45.65365025
371,63.6173679,45.73001159,48.52638353,46.02716469
372,62.63139255,44.82908459,48.62934363,45.63384267
373,64.01685791,44.31344148,48.65508366,46.22524052
374,64.1160221,48.61819235,48.95824396,45.93378608
375,64.95750106,46.87137891,48.56356356,45.87153367
376,63.30287576,45.53302433,48.78092378,45.61403509
377,64.73084006,50.29837775,48.98398398,45.44142615
378,64.99150021,43.09096176,48.74088374,45.52065648
379,65.58648534,46.5382387,48.17460317,45.36219581
380,63.42470605,45.05793743,48.61504362,45.43859649
381,63.60603485,49.13383546,48.82382382,45.41029994
382,65.5666525,47.67381228,49.19276419,44.80192417
383,63.413373,46.5179606,48.83812384,45.3254103
384,65.68848279,45.05504056,48.92964393,46.46859083
385,64.51551211,45,48.36622337,46.12903226
386,63.91486046,50.00869061,49.00972401,45.60837578
387,63.66553336,50.00579374,48.85814386,45.71024335
388,64.10185579,47.69409038,48.66366366,45.67628749
389,63.53803655,47.55793743,48.76376376,45.48104131
390,63.7760306,46.48030127,48.66080366,45.41029994
391,64.11318884,45.07242178,49.04118404,46.38370119
392,63.83552911,47.53476246,48.62934363,45.30843237
393,63.88086131,48.60660487,48.84098384,45.3820034
394,64.62317609,50.5967555,48.8953239,46.91850594
395,62.66255844,42.60718424,48.34620335,46.00452745
396,65.01416631,48.57473928,48.8038038,46.13752122
397,63.94602635,45.63151796,48.30902331,46.32710809
398,65.02549936,45.62862109,48.79236379,46.4516129
399,63.38504037,46.97566628,48.63506364,46.69779287
400,64.01685791,49.89571263,48.73516374,46.09224675
401,64.72517354,44.90440324,49.10696411,46.14035088
402,64.31151721,48.69930475,48.73230373,46.3327674
403,63.22921094,48.69640788,49.15844416,46.36955291
404,63.99135855,45.07242178,48.33762334,46.86757216
405,64.2293526,50.5967555,48.3976834,46.58460668
406,63.85252869,44.99130939,49.18704419,46.61856254
407,63.7306984,47.45365006,48.57214357,46.18845501
408,64.02819096,45.39397451,48.7980838,46.56196944
409,64.20385324,46.87717265,48.43486343,46.88455008
410,64.46451339,47.97219003,49.04976405,46.26768534
411,64.20951976,46.51506373,48.85814386,46.53084324
412,63.48420456,46.28331402,48.85814386,46.96661007
413,63.65136705,48.12862109,49.18704419,46.81380872
414,64.320017,47.65643105,48.5978836,46.88737974
415,64.79883836,46.22247972,48.6007436,46.78834182
416,63.63720074,46.0428737,48.74374374,46.98075835
417,63.22071115,48.67902665,48.52638353,47.97679683
418,64.29451764,45.1216686,48.74946375,47.09394454
419,63.69669925,45.60254925,49.05262405,46.9213356
420,63.89786089,46.46292005,48.34906335,47.41652518
421,64.82150446,47.42468134,48.84670385,47.08828523
422,63.55503612,48.69930475,48.92392392,46.92982456
423,63.0053832,46.6599073,48.85528386,47.61460102
424,64.08202295,43.07937428,48.72086372,47.221279
425,65.70831563,47.67960603,48.65222365,47.16468591
426,63.21221136,46.42526072,48.84384384,47.30050934
427,63.9346933,44.89281576,48.8981839,47.27221279
428,63.67119989,47.30301275,48.91534392,47.23259762
429,63.86102847,46.46581692,48.88388388,47.74193548
430,62.81272135,48.35747393,48.77234377,46.98924731
431,62.26023516,46.13267671,48.64650365,47.08262592
432,64.2973509,44.71900348,48.67510368,46.74023769
433,65.59498513,44.94206257,48.76948377,47.2778721
434,63.42470605,48.63847045,48.79236379,47.19864177
435,63.47287151,48.09096176,48.43200343,46.9213356
436,64.5013458,45.1013905,48.96396396,46.92699491
437,64.46451339,46.15874855,48.6036036,47.41369553
438,64.48151296,49.32792584,49.01258401,46.85342388
439,64.39651509,44.38876014,49.11554412,46.76287493
440,64.27751806,44.84936269,48.46346346,46.87606112
441,63.4587052,48.71668598,48.78378378,46.29032258
442,64.05652359,45.6778679,48.65508366,46.46010187
443,64.07918969,48.74855156,48.42628343,46.38370119
444,63.43037257,47.29142526,49.04404404,46.95529145
445,64.22368607,40.60254925,49.1041041,46.40067912
446,64.96883411,46.96407879,48.63792364,46.41482739
447,64.32568352,51.17033604,48.97826398,47.04584041
448,64.22085281,46.41077636,48.88102388,46.41199774
449,65.21249469,43.25028969,48.87244387,46.57611771
450,64.86683666,47.45654693,48.71228371,46.56196944
451,63.00254994,50.61413673,48.64936365,47.28636106
452,63.94885961,43.18076477,48.88102388,47.03169213
453,65.37115739,47.42178447,48.84384384,46.28183362
454,64.53817821,47.91135574,48.47204347,46.80531975
455,65.16432923,47.48261877,48.80952381,46.65534805
456,63.7306984,46.04577057,48.6007436,46.4770798
457,64.66284176,45.0202781,48.73802374,47.11658178
458,64.8186712,47.73754345,48.67796368,46.55913978
459,63.89786089,46.94959444,48.83812384,46.84493492
460,63.77036407,47.12050985,48.83526384,47.44765139
461,64.01402465,46.37891078,48.998284,47.15053763
462,64.81300467,45.21147161,48.61218361,47.3967176
463,64.17552061,46.83661645,48.63506364,46.7147708
464,64.773339,44.25840093,48.8009438,47.12224109
465,63.36520754,44.94785632,48.53496353,46.57894737
466,63.45303867,48.52549247,49.16988417,46.63554046
467,64.33135005,42.48261877,48.9010439,47.5721562
468,64.84700382,47.42468134,48.81810382,47.23542728
469,64.4106814,50.97334878,48.44630345,46.13469157
470,63.46720499,43.603708,48.86672387,47.08262592
471,64.15002125,46.60196987,49.14700415,46.54499151
472,63.22071115,48.59501738,48.68082368,46.93548387
473,65.01133305,45.63441483,48.75518376,46.0639502
474,64.05369032,46.38760139,49.02116402,46.67515563
475,65.18699533,48.50521437,48.52638353,46.63554046
476,63.15837937,47.47682503,48.78378378,46.12054329
477,66.07097323,44.57995365,48.69226369,46.14035088
478,64.66567502,49.32792584,48.96110396,46.16015846
479,63.74203145,47.17265353,48.85528386,46.3638936
480,63.14987959,48.68771727,48.94966395,46.36955291
481,63.58620201,43.94264195,48.998284,45.97057159
482,63.38504037,47.51158749,48.8009438,46.1827957
483,63.83836237,44.34530707,48.97826398,46.6270515
484,63.98569202,48.32271147,48.64364364,46.43463497
485,64.54101147,46.03707995,48.95538396,47.26089417
486,62.82122114,46.40498262,48.97254397,46.40350877
487,65.74514804,46.67149479,48.58644359,46.43180532
488,65.1359966,45.5967555,48.88388388,46.81097906
489,64.80450489,49.90440324,48.87530388,46.12903226
490,62.81838787,48.72247972,48.13456313,46.80814941
491,63.13854654,46.14426419,48.61790362,46.52518393
492,65.43632243,46.5787949,48.73516374,47.16751556
493,64.71100722,47.45365006,48.83240383,46.75155631
494,65.52982009,51.23986095,48.61504362,46.43746463
495,64.17835387,45.10428737,48.98684399,47.02037351
496,64.57217736,46.38180765,48.96396396,46.79683079
497,63.51537045,45.41425261,48.59216359,47.24108659
498,64.8186712,47.53186559,48.40626341,46.94680249
499,63.34254144,49.64078795,48.64078364,46.65534805
500,64.50701232,48.39803013,49.23280423,47.00339559
501,63.39920669,48.88470452,49.07550408,46.38653084
502,63.35387449,44.90730012,48.61504362,46.3582343
503,64.52684516,47.51738123,48.91248391,46.59875495
504,64.19535345,44.95075319,48.8009438,46.62139219
505,63.37654059,44.38876014,48.72944373,46.70628183
506,64.96033432,46.29490151,49.05834406,46.61290323
507,64.6600085,43.1778679,48.93250393,47.22410866
508,63.71086556,48.34588644,48.92106392,47.01188455
509,64.6146763,50.77636153,48.74374374,46.90152801
510,64.06502337,48.52549247,48.99256399,45.93095642
511,64.3880153,49.93047509,49.15844416,47.21844935
512,63.98285876,49.77404403,48.64078364,46.81097906
513,63.86102847,46.11819235,48.57500358,47.33729485
514,64.24068565,46.93800695,48.94966395,46.81946802
515,65.1359966,45.75028969,48.98112398,46.91850594
516,65.52415356,45.08690614,48.38052338,46.8024901
517,65.05383199,46.28041715,48.71228371,46.80814941
518,64.6146763,47.53765933,48.62648363,46.44029428
519,63.40487321,48.61529548,48.8981839,46.91567629
520,62.37923219,44.9594438,49.08122408,46.75721562
521,63.57770222,49.8377752,49.38724439,46.82512733
522,64.63450914,48.0561993,48.68082368,46.92416525
523,64.98583369,50.74739282,49.01830402,47.24108659
524,62.75322284,47.33198146,48.50922351,47.11941143
525,64.05085706,48.73406721,48.66080366,45.86587436
526,64.73933985,48.63847045,49.01830402,46.87040181
527,62.62855929,48.05330243,48.74374374,46.84210526
528,64.65717524,44.32502897,48.68940369,47.33729485
529,65.84147896,47.61008111,48.71800372,46.93831353
530,65.47882136,47.60428737,48.8009438,46.8647425
531,64.29168437,50.202781,48.56356356,46.79966044
532,64.10468905,45.09559676,48.92392392,46.84493492
533,64.13018841,43.82966396,48.87530388,46.08092813
534,63.62586769,46.04866744,48.96682397,47.03169213
535,63.78169712,48.71378911,48.58644359,47.03735144
536,63.30287576,45.12746234,49.16988417,46.80531975
