Step,random,lfu,lru,a3c
496,0.219436181,0.438441483,0.397683398,0.457413696
497,0.217877886,0.445104287,0.404833405,0.456140351
498,0.215044624,0.433082271,0.408408408,0.461233729
499,0.224252727,0.440034762,0.404690405,0.46279004
500,0.215894603,0.428012746,0.3996854,0.456140351
501,0.225386032,0.422219003,0.3995424,0.455857385
502,0.224252727,0.449015064,0.401973402,0.457838144
503,0.217169571,0.396726535,0.398541399,0.455998868
504,0.216744581,0.450318656,0.405834406,0.45713073
505,0.223686075,0.454084589,0.407121407,0.46024335
506,0.21306134,0.44278679,0.402116402,0.454159593
507,0.214477971,0.436993048,0.406692407,0.453593662
508,0.227369316,0.428302433,0.402688403,0.448924731
509,0.213911319,0.41801854,0.404118404,0.451612903
510,0.220427823,0.428012746,0.403117403,0.463921902
511,0.219011191,0.424971031,0.395395395,0.450481041
512,0.218302876,0.422363847,0.406406406,0.451046972
513,0.218727865,0.439455388,0.404547405,0.455857385
514,0.216177929,0.443076477,0.401830402,0.451754386
515,0.215044624,0.421929316,0.402545403,0.455291454
516,0.208669783,0.448146002,0.407407407,0.455432937
517,0.219719507,0.439455388,0.405119405,0.447226938
518,0.213344666,0.398030127,0.404833405,0.448075835
519,0.221136138,0.43221321,0.404404404,0.44524618
520,0.224252727,0.448146002,0.402116402,0.45147142
521,0.227227653,0.446987254,0.3999714,0.453735144
522,0.21575294,0.431199305,0.406692407,0.448217317
523,0.214052982,0.419466976,0.402974403,0.450481041
524,0.229919252,0.399623407,0.406692407,0.447509904
525,0.210936393,0.422219003,0.401401401,0.453593662
526,0.209944751,0.432792584,0.4001144,0.448075835
527,0.223119422,0.432502897,0.405262405,0.447792869
528,0.214052982,0.428302433,0.3999714,0.449632145
529,0.203569911,0.433227115,0.407121407,0.45090549
530,0.210936393,0.43467555,0.401258401,0.445529145
531,0.211928035,0.42410197,0.401687402,0.447085456
532,0.219011191,0.44887022,0.404261404,0.448783248
533,0.216602918,0.417149479,0.403832404,0.4524618
534,0.21801955,0.41801854,0.400972401,0.441143181
535,0.216461255,0.433082271,0.407407407,0.445953594
